political_group,LD,BW,MWL,MSL,TTR,nous,je,il,vous,top5_bigram,top5_trigram
Démocrate (MoDem et Indépendants),0.5174,0.3799,5.1259,21.6199,0.2776,10.688,10.8999,15.0861,6.8772,avis défavorable | chers collègues | lutte contre | union européenne | ministre délégué,défaut avis défavorable | demande retrait défaut | retrait défaut avis | commission mixte paritaire | démocrate modem indépendants
Gauche démocrate et républicaine - NUPES,0.4951,0.357,4.8932,24.6542,0.2644,12.103,7.4561,16.4519,8.9941,sécurité sociale | milliards euros | ministre délégué | gauche démocrate | démocrate républicaine,gauche démocrate républicaine | démocrate républicaine nupes | financement sécurité sociale | députés gauche démocrate | service public emploi
Horizons et apparentés,0.5332,0.3987,5.2949,21.339,0.2682,9.3421,10.7141,14.2397,5.7922,avis défavorable | horizons apparentés | lutte contre | prise charge | chers collègues,horizons apparentés votera | défaut avis défavorable | demande retrait défaut | retrait défaut avis | commission mixte paritaire
La France insoumise - Nouvelle Union Populaire écologique et sociale,0.4898,0.3502,4.854,23.6655,0.2589,13.1429,6.8949,16.7521,12.5231,milliards euros | -t -il | ministre délégué | rassemblement national | service public,droits homme citoyen | déclaration droits homme | retraite 60 ans | personnes situation handicap | émissions gaz serre
Les Républicains,0.4973,0.3619,4.9157,24.0934,0.2731,10.3178,9.1701,17.681,6.7795,soins palliatifs | ministre délégué | chers collègues | bon sens | milliards euros,suicide assisté euthanasie | financement sécurité sociale | commission mixte paritaire | code santé publique | commission affaires sociales
"Libertés, Indépendants, Outre-mer et Territoires",0.4985,0.3653,4.9376,24.1234,0.2601,10.288,10.1653,15.7156,5.5681,outre-mer territoires | libertés indépendants | indépendants outre-mer | millions euros | ministre délégué,libertés indépendants outre-mer | indépendants outre-mer territoires | commission mixte paritaire | financement sécurité sociale | ministre délégué chargé
Non inscrit,0.4932,0.3499,4.818,25.0879,0.2921,5.1793,9.7259,17.6188,7.237,soins palliatifs | union européenne | milliards euros | bon sens | emmanuel macron,euthanasie suicide assisté | code santé publique | suicide assisté euthanasie | droit image enfants | jeux olympiques paralympiques
Rassemblement National,0.4955,0.3602,4.9109,24.5108,0.2919,10.7092,6.3776,16.0328,9.7407,rassemblement national | bon sens | union européenne | marine pen | chers collègues,députés rassemblement national | rassemblement national votera | suicide assisté euthanasie | question adresse m. | euthanasie suicide assisté
Renaissance,0.5364,0.4035,5.3309,20.4295,0.2938,9.5808,10.4072,14.3023,6.4303,avis défavorable | lutte contre | demande retrait | chers collègues | milliards euros,défaut avis défavorable | demande retrait défaut | retrait défaut avis | avis défavorable amendements | émets avis défavorable
Socialistes et apparentés,0.4935,0.3631,4.9367,25.4271,0.2525,13.3954,8.009,16.3348,6.5634,socialistes apparentés | milliards euros | ministre délégué | millions euros | lutte contre,députés socialistes apparentés | financement sécurité sociale | socialistes apparentés votera | commission affaires sociales | m. ministre délégué
Écologiste - NUPES,0.4955,0.3595,4.9155,24.5376,0.2589,11.91,6.659,16.6277,7.8875,énergies renouvelables | chers collègues | écologiste nupes | milliards euros | lutte contre,émissions gaz serre | personnes situation handicap | jeux olympiques paralympiques | écologiste nupes votera | commission mixte paritaire
