party,LD,BW,MWL,MSL,TTR,nous,je,il,vous,top5_bigram,top5_trigram
Alliance centriste,0.4941,0.3823,5.0165,25.6013,0.2713,8.0639,11.8694,18.3026,4.0545,autorité parentale | violences conjugales | horizons apparentés | restes humains | victimes violences,autorité parentale cas | victimes violences conjugales | libertés indépendants outre-mer | indépendants outre-mer territoires | état catastrophe naturelle
Ambition Réunion,0.4903,0.3659,4.984,27.8664,0.2427,6.6834,4.4667,15.7063,2.4512,territoires ultramarins | socialistes apparentés | populations ultramarines | commission enquête | ministre délégué,socialistes apparentés vise | députés socialistes apparentés | revaloriser coefficient géographique | nécessité revaloriser coefficient | pénitentiaire insertion probation
Debout la France,0.4911,0.3355,4.7548,22.8428,0.2518,7.0538,5.6869,15.0337,18.6188,union européenne | emmanuel macron | milliards euros | motion censure | chers collègues,prix national électricité | mme von der | von der leyen | accords libre échange | vaccin empêche transmission
Ensemble,0.5325,0.3985,5.2884,20.7596,0.2876,9.7632,10.5456,14.4442,6.4344,avis défavorable | lutte contre | chers collègues | demande retrait | milliards euros,défaut avis défavorable | demande retrait défaut | retrait défaut avis | émets avis défavorable | avis défavorable amendements
Europe Écologie Les Verts,0.4955,0.3595,4.9155,24.5376,0.2589,11.91,6.659,16.6277,7.8875,énergies renouvelables | chers collègues | écologiste nupes | milliards euros | lutte contre,émissions gaz serre | personnes situation handicap | jeux olympiques paralympiques | écologiste nupes votera | commission mixte paritaire
La France Insoumise,0.4897,0.3498,4.8507,23.6414,0.2588,13.2031,6.9653,16.8924,12.5916,milliards euros | -t -il | rassemblement national | ministre délégué | service public,droits homme citoyen | déclaration droits homme | retraite 60 ans | émissions gaz serre | financement sécurité sociale
Les Républicains,0.4973,0.3618,4.9154,24.0875,0.2731,10.2969,9.1476,17.6679,6.7564,soins palliatifs | ministre délégué | bon sens | chers collègues | milliards euros,suicide assisté euthanasie | financement sécurité sociale | commission mixte paritaire | code santé publique | commission affaires sociales
Non déclaré(s),0.4934,0.3522,4.828,25.6214,0.2655,4.7295,10.6641,18.3214,5.3029,soins palliatifs | bon sens | 000 euros | suicide assisté | union européenne,euthanasie suicide assisté | code santé publique | droit image enfants | suicide assisté euthanasie | jeux olympiques paralympiques
Parti communiste français,0.4926,0.3541,4.8778,24.8803,0.262,11.9685,7.6477,16.4054,9.148,sécurité sociale | milliards euros | gauche démocrate | démocrate républicaine | ministre délégué,gauche démocrate républicaine | démocrate républicaine nupes | députés gauche démocrate | financement sécurité sociale | service public emploi
Parti progressiste démocratique guadeloupéen,0.5111,0.3778,5.0587,22.3124,0.2568,14.1497,8.8543,17.9792,4.4747,territoires ultramarins | territoires outre-mer | continuité territoriale | ministre délégué | avis favorable,prix billets avion | départements régions outre-mer | commission affaires sociales | déclassification totale archives | lutter contre vie
Parti progressiste martiniquais,0.4913,0.3669,4.9791,25.2568,0.2479,5.8166,4.979,19.4794,3.5126,vie chère | commission enquête | millions euros | coût vie | territoires ultramarins,articles 73 74 | vie chère outre-mer | 73 74 constitution | départements régions outre-mer | contre vie chère
Parti radical de gauche,0.5009,0.3658,4.9939,25.8956,0.2808,8.4479,6.5569,15.0484,3.1744,soins palliatifs | fin vie | aide mourir | prise charge | sécurité sociale,libertés indépendants outre-mer | indépendants outre-mer territoires | pronostic vital engagé | financement sécurité sociale | soins palliatifs accompagnement
Parti socialiste,0.4926,0.3623,4.9292,25.5398,0.2527,13.5555,8.062,16.2351,6.7774,socialistes apparentés | milliards euros | ministre délégué | lutte contre | sécurité sociale,députés socialistes apparentés | financement sécurité sociale | socialistes apparentés votera | commission affaires sociales | m. ministre délégué
Pour la Réunion,0.5437,0.4011,5.1296,20.2607,0.2672,10.8214,5.9568,15.4724,7.6051,logement social | ministre délégué | territoires ultramarins | lutte contre | territoires outre-mer,gauche démocrate républicaine | bouclier qualité prix | démocrate républicaine nupes | service public audiovisuel | ministre délégué chargé
Progrès-974,0.4896,0.3534,4.8574,25.1266,0.245,15.0736,6.2433,18.7475,9.2014,ordonnance protection | aide mourir | violences intrafamiliales | logement social | logements sociaux,ordonnance provisoire protection | victimes violences intrafamiliales | provisoire protection immédiate | code procédure pénale | états généraux justice
Péyi-A,0.4909,0.3619,4.9642,24.3352,0.283,11.6413,7.4607,14.4769,7.7533,territoires outre-mer | ministre délégué | martinique guadeloupe | changement climatique | continuité territoriale,départements régions outre-mer | recul trait côte | commission développement durable | développement durable aménagement | durable aménagement territoire
Rassemblement national,0.4955,0.3602,4.9109,24.5108,0.2919,10.7092,6.3776,16.0328,9.7407,rassemblement national | bon sens | union européenne | marine pen | chers collègues,députés rassemblement national | rassemblement national votera | suicide assisté euthanasie | question adresse m. | euthanasie suicide assisté
Régions et peuples solidaires,0.4997,0.3663,4.943,24.017,0.2636,11.7604,10.4184,15.2287,5.8767,libertés indépendants | indépendants outre-mer | outre-mer territoires | lutte contre | bon sens,libertés indépendants outre-mer | indépendants outre-mer territoires | commission mixte paritaire | production énergies renouvelables | outre-mer territoires votera
Réunion libre,0.5129,0.3882,5.1245,27.0167,0.2642,5.5846,9.6576,14.0429,2.412,énergies renouvelables | territoires ultramarins | lutte contre | outre-mer territoires | ministre délégué,libertés indépendants outre-mer | indépendants outre-mer territoires | départements régions outre-mer | zones non interconnectées | territoires insulaires ultramarins
Rézistan's Égalité 974,0.4898,0.373,5.0062,25.3994,0.2569,10.4931,2.4959,9.7498,9.9155,demandeurs emploi | territoires outre-mer | commission enquête | france travail | millions euros,personnes situation handicap | insertion activité économique | êtes -vous prêt | personnes éloignées emploi | atteindre plein emploi
"Union des démocrates européens, centristes et indépendants",0.4937,0.3548,4.8545,22.7004,0.2537,9.5804,10.6679,16.2311,7.0667,millions euros | milliards euros | ministre délégué | finances publiques | chers collègues,libertés indépendants outre-mer | indépendants outre-mer territoires | haut conseil finances | conseil finances publiques | programmation finances publiques
